lead_id,source,status,value,created_date,last_contact
LEAD00080,Web,Closed Lost,6100.0,2025-06-23,2025-06-24
LEAD00081,Web,Contacted,2000.0,2025-08-02,2025-08-03
LEAD00082,Web,Closed Won,2200.0,2025-06-05,2025-06-21
LEAD00083,Web,Closed Won,3400.0,2025-06-28,2025-07-13
LEAD00084,Referral,New,2500.0,2025-06-10,2025-06-21
LEAD00085,Social,New,3600.0,2025-05-31,2025-06-11
LEAD00086,Web,New,6800.0,2025-08-25,2025-09-14
LEAD00087,Social,Qualified,2900.0,2025-06-09,2025-06-26
LEAD00088,Email,New,6900.0,2025-06-06,2025-06-17
LEAD00089,Event,Closed Won,4900.0,2025-06-28,2025-07-11
LEAD00090,Referral,Contacted,1500.0,2025-08-27,2025-09-19
LEAD00091,Event,Closed Won,1000.0,2025-08-05,2025-08-22
LEAD00092,Event,Closed Won,6400.0,2025-08-26,2025-08-27
LEAD00093,Referral,Negotiation,6900.0,2025-07-01,2025-07-07
LEAD00094,Event,Contacted,6600.0,2025-07-19,2025-08-12
LEAD00095,Referral,Closed Won,10900.0,2025-07-08,2025-07-28
LEAD00096,Email,Contacted,7700.0,2025-07-13,2025-07-22
LEAD00097,Referral,Contacted,11800.0,2025-08-24,2025-09-10
LEAD00098,Referral,Closed Lost,4000.0,2025-07-22,2025-08-18
LEAD00099,Referral,New,3100.0,2025-07-21,2025-08-12
LEAD00100,Referral,Contacted,5900.0,2025-08-07,2025-08-09
LEAD00101,Event,Negotiation,3100.0,2025-07-31,2025-08-29
LEAD00102,Email,Closed Won,8100.0,2025-06-30,2025-07-21
LEAD00103,Social,Contacted,6300.0,2025-07-03,2025-07-03
LEAD00104,Email,Contacted,3500.0,2025-06-19,2025-07-04
LEAD00105,Social,Closed Lost,1100.0,2025-07-16,2025-08-11
LEAD00106,Web,Closed Won,3400.0,2025-06-27,2025-06-28
LEAD00107,Social,Closed Won,4000.0,2025-07-21,2025-08-10
LEAD00108,Web,Negotiation,1300.0,2025-06-20,2025-07-09
LEAD00109,Event,Contacted,9700.0,2025-06-28,2025-06-30
LEAD00110,Social,Closed Lost,1300.0,2025-07-19,2025-07-27
LEAD00111,Social,Contacted,1400.0,2025-08-04,2025-08-15
LEAD00112,Social,Contacted,1800.0,2025-07-07,2025-07-09
LEAD00113,Email,Contacted,4400.0,2025-06-22,2025-07-02
LEAD00114,Email,Closed Won,16900.0,2025-06-12,2025-06-13
LEAD00115,Email,New,11500.0,2025-07-05,2025-08-03
LEAD00116,Referral,New,2300.0,2025-08-03,2025-08-03
LEAD00117,Social,Negotiation,2800.0,2025-06-03,2025-06-17
LEAD00118,Web,New,13700.0,2025-08-15,2025-09-06
LEAD00119,Email,Qualified,7700.0,2025-07-06,2025-08-01
LEAD00120,Referral,New,15600.0,2025-08-23,2025-09-19
LEAD00121,Event,New,6900.0,2025-07-28,2025-08-22
LEAD00122,Email,Qualified,2800.0,2025-07-27,2025-08-25
LEAD00123,Social,Closed Lost,10400.0,2025-08-12,2025-08-25
LEAD00124,Email,Negotiation,21400.0,2025-07-05,2025-07-10
LEAD00125,Email,Closed Lost,2500.0,2025-07-01,2025-07-22
LEAD00126,Email,New,2000.0,2025-06-30,2025-07-18
LEAD00127,Referral,Negotiation,1500.0,2025-06-05,2025-06-08
LEAD00128,Web,Qualified,5400.0,2025-07-03,2025-07-21
LEAD00129,Event,Closed Lost,20300.0,2025-06-07,2025-06-30
LEAD00130,Web,Contacted,5600.0,2025-07-27,2025-08-18
LEAD00131,Referral,Contacted,2800.0,2025-07-11,2025-07-25
LEAD00132,Web,Negotiation,7000.0,2025-06-24,2025-07-01
LEAD00133,Email,Qualified,1900.0,2025-07-08,2025-07-31
LEAD00134,Web,Closed Lost,1100.0,2025-07-28,2025-08-06
LEAD00135,Referral,Negotiation,3700.0,2025-08-13,2025-08-14
LEAD00136,Referral,Closed Lost,1200.0,2025-07-22,2025-07-24
LEAD00137,Event,Negotiation,5000.0,2025-08-28,2025-09-02
LEAD00138,Social,New,1400.0,2025-06-27,2025-07-09
LEAD00139,Email,Contacted,2000.0,2025-08-16,2025-09-09
LEAD00140,Web,Contacted,11400.0,2025-07-12,2025-08-09
LEAD00141,Web,Contacted,14700.0,2025-06-28,2025-07-06
LEAD00142,Web,Negotiation,4400.0,2025-06-30,2025-07-02
LEAD00143,Web,Closed Won,9500.0,2025-07-01,2025-07-28
LEAD00144,Social,Contacted,6300.0,2025-06-10,2025-06-14
LEAD00145,Referral,Qualified,2100.0,2025-06-11,2025-06-11
LEAD00146,Social,Closed Lost,8800.0,2025-06-25,2025-07-12
LEAD00147,Web,Qualified,13000.0,2025-06-10,2025-07-04
LEAD00148,Event,Negotiation,2900.0,2025-08-19,2025-09-01
LEAD00149,Email,Negotiation,4800.0,2025-08-08,2025-08-27
LEAD00150,Referral,New,4600.0,2025-08-24,2025-09-01
LEAD00151,Event,Negotiation,3700.0,2025-07-03,2025-07-17
LEAD00152,Web,Qualified,6200.0,2025-08-03,2025-08-10
LEAD00153,Referral,Negotiation,3000.0,2025-08-24,2025-08-24
LEAD00154,Social,Closed Won,17600.0,2025-08-03,2025-08-19
LEAD00155,Web,Qualified,7400.0,2025-07-04,2025-07-29
LEAD00156,Email,Closed Won,1800.0,2025-08-22,2025-08-27
LEAD00157,Referral,Closed Won,34100.0,2025-07-26,2025-08-23
LEAD00158,Event,Negotiation,4600.0,2025-06-01,2025-06-06
LEAD00159,Event,New,9300.0,2025-06-19,2025-06-22
LEAD00160,Email,Negotiation,4100.0,2025-06-07,2025-06-15
LEAD00161,Referral,Contacted,3200.0,2025-08-27,2025-09-15
LEAD00162,Web,New,2500.0,2025-08-04,2025-08-30
LEAD00163,Referral,Contacted,4700.0,2025-08-04,2025-08-29
LEAD00164,Web,Qualified,5300.0,2025-07-16,2025-07-29
LEAD00165,Event,Closed Lost,1600.0,2025-08-12,2025-09-09
LEAD00166,Referral,Closed Lost,6800.0,2025-06-04,2025-06-07
LEAD00167,Social,Qualified,15400.0,2025-06-25,2025-06-26
LEAD00168,Event,Closed Lost,5300.0,2025-07-24,2025-08-01
LEAD00169,Event,Contacted,4900.0,2025-06-30,2025-07-27
LEAD00170,Web,Closed Lost,1200.0,2025-06-13,2025-07-11
LEAD00171,Email,New,3000.0,2025-08-04,2025-08-30
LEAD00172,Social,Contacted,1200.0,2025-08-02,2025-08-23
LEAD00173,Event,Qualified,5000.0,2025-06-11,2025-06-26
LEAD00174,Social,Closed Won,2000.0,2025-06-02,2025-06-17
LEAD00175,Referral,Closed Won,4900.0,2025-06-10,2025-07-07
LEAD00176,Web,Qualified,7200.0,2025-08-03,2025-08-23
LEAD00177,Social,Negotiation,22500.0,2025-07-13,2025-08-01
LEAD00178,Referral,New,13100.0,2025-06-15,2025-06-18
LEAD00179,Referral,Negotiation,16400.0,2025-07-20,2025-08-18
LEAD00180,Social,Negotiation,16700.0,2025-07-02,2025-07-03
LEAD00181,Social,New,3900.0,2025-06-17,2025-07-14
LEAD00182,Event,New,9200.0,2025-07-15,2025-07-28
LEAD00183,Email,Closed Lost,3700.0,2025-08-13,2025-09-10
LEAD00184,Email,Closed Lost,2800.0,2025-08-08,2025-08-24
LEAD00185,Email,Closed Won,8000.0,2025-08-02,2025-08-31
LEAD00186,Event,Qualified,4400.0,2025-08-04,2025-08-29
LEAD00187,Event,Negotiation,10100.0,2025-06-22,2025-07-19
LEAD00188,Social,Contacted,10100.0,2025-07-05,2025-07-30
LEAD00189,Social,Qualified,3300.0,2025-07-15,2025-07-21
LEAD00190,Email,New,1300.0,2025-08-02,2025-08-31
LEAD00191,Referral,New,3900.0,2025-08-21,2025-09-06
LEAD00192,Event,Negotiation,4000.0,2025-08-20,2025-08-27
LEAD00193,Event,New,24500.0,2025-06-21,2025-07-16
LEAD00194,Social,New,3300.0,2025-06-27,2025-06-30
LEAD00195,Web,Contacted,8900.0,2025-08-01,2025-08-10
LEAD00196,Email,Closed Won,1400.0,2025-06-23,2025-06-27
LEAD00197,Web,Closed Lost,9300.0,2025-08-25,2025-09-20
LEAD00198,Web,Qualified,12400.0,2025-07-06,2025-07-23
LEAD00199,Web,Negotiation,13500.0,2025-06-20,2025-07-11
LEAD00200,Email,Negotiation,2000.0,2025-06-08,2025-06-17
LEAD00201,Email,Negotiation,11600.0,2025-08-24,2025-09-08
LEAD00202,Email,Qualified,7500.0,2025-08-24,2025-09-16
LEAD00203,Email,Closed Lost,1600.0,2025-07-07,2025-07-16
LEAD00204,Event,Negotiation,3800.0,2025-06-28,2025-07-08
LEAD00205,Referral,Negotiation,3500.0,2025-08-15,2025-09-05
LEAD00206,Event,Negotiation,27600.0,2025-06-26,2025-07-14
LEAD00207,Referral,Negotiation,4400.0,2025-05-31,2025-06-05
LEAD00208,Referral,Closed Lost,4600.0,2025-06-11,2025-06-28
LEAD00209,Referral,Negotiation,6700.0,2025-08-14,2025-09-04
LEAD00210,Referral,Contacted,8600.0,2025-06-18,2025-07-17
LEAD00211,Event,New,3700.0,2025-06-22,2025-06-30
LEAD00212,Event,Closed Lost,2100.0,2025-06-18,2025-07-08
LEAD00213,Email,Qualified,6200.0,2025-07-11,2025-07-21
LEAD00214,Event,Contacted,3700.0,2025-07-14,2025-07-20
LEAD00215,Event,Closed Won,1900.0,2025-08-07,2025-08-16
LEAD00216,Web,Qualified,1100.0,2025-06-25,2025-07-13
LEAD00217,Event,Closed Lost,2000.0,2025-07-19,2025-08-10
LEAD00218,Email,New,3000.0,2025-06-20,2025-06-23
LEAD00219,Web,New,8500.0,2025-05-31,2025-06-16
LEAD00220,Social,Closed Lost,7400.0,2025-07-09,2025-07-25
LEAD00221,Web,Negotiation,8400.0,2025-07-25,2025-08-20
LEAD00222,Referral,Qualified,11700.0,2025-08-16,2025-08-16
LEAD00223,Event,Closed Won,2500.0,2025-08-11,2025-09-08
LEAD00224,Social,Closed Lost,16100.0,2025-07-15,2025-07-22
LEAD00225,Social,Qualified,4100.0,2025-07-29,2025-08-04
LEAD00226,Social,New,4200.0,2025-06-08,2025-06-08
LEAD00227,Event,New,1500.0,2025-07-18,2025-08-16
LEAD00228,Social,Negotiation,2800.0,2025-07-25,2025-07-29
LEAD00229,Referral,Contacted,1100.0,2025-07-06,2025-07-06
LEAD00230,Referral,Negotiation,3000.0,2025-08-25,2025-08-27
LEAD00231,Email,Qualified,2600.0,2025-06-22,2025-07-16
LEAD00232,Email,Closed Won,1900.0,2025-06-21,2025-06-23
LEAD00233,Social,Negotiation,7600.0,2025-08-23,2025-09-11
LEAD00234,Social,Closed Lost,6900.0,2025-08-01,2025-08-10
LEAD00235,Event,New,1500.0,2025-08-22,2025-09-07
LEAD00236,Referral,Closed Won,4200.0,2025-05-31,2025-06-28
LEAD00237,Web,New,6400.0,2025-07-11,2025-08-04
LEAD00238,Social,Qualified,1300.0,2025-06-03,2025-06-25
LEAD00239,Social,Closed Won,6400.0,2025-07-13,2025-07-25
LEAD00240,Event,New,2700.0,2025-08-17,2025-08-31
LEAD00241,Event,New,11300.0,2025-08-24,2025-09-13
LEAD00242,Email,New,4300.0,2025-07-29,2025-08-12
LEAD00243,Email,Closed Lost,1500.0,2025-06-22,2025-07-18
LEAD00244,Event,Closed Lost,6000.0,2025-07-17,2025-07-29
LEAD00245,Web,Contacted,2800.0,2025-08-11,2025-08-30
LEAD00246,Social,Contacted,5900.0,2025-07-02,2025-07-06
LEAD00247,Web,Closed Lost,12100.0,2025-07-06,2025-07-14
LEAD00248,Event,Negotiation,2900.0,2025-06-07,2025-06-22
LEAD00249,Web,Closed Won,2800.0,2025-08-21,2025-09-03
LEAD00250,Event,Negotiation,2400.0,2025-08-11,2025-08-25
LEAD00251,Web,New,4300.0,2025-08-06,2025-08-18
LEAD00252,Referral,Contacted,1100.0,2025-07-28,2025-08-07
LEAD00253,Referral,Negotiation,4700.0,2025-08-16,2025-09-09
LEAD00254,Social,Qualified,12200.0,2025-07-12,2025-07-20
LEAD00255,Web,New,6800.0,2025-06-30,2025-07-19
LEAD00256,Event,Closed Won,1100.0,2025-06-21,2025-07-15
LEAD00257,Web,Closed Won,1500.0,2025-06-29,2025-07-15
LEAD00258,Email,Closed Lost,14600.0,2025-08-01,2025-08-02
LEAD00259,Web,Qualified,4000.0,2025-07-29,2025-08-26
LEAD00260,Referral,New,4800.0,2025-07-03,2025-07-08
LEAD00261,Web,New,12100.0,2025-06-27,2025-06-27
LEAD00262,Email,Qualified,2900.0,2025-08-27,2025-09-15
LEAD00263,Email,New,8200.0,2025-07-23,2025-07-30
LEAD00264,Web,Qualified,1100.0,2025-06-27,2025-07-17
LEAD00265,Social,Negotiation,1500.0,2025-06-08,2025-06-19
LEAD00266,Referral,Negotiation,6200.0,2025-06-18,2025-07-10
LEAD00267,Web,Negotiation,2300.0,2025-06-17,2025-06-19
LEAD00268,Social,Negotiation,2700.0,2025-08-23,2025-09-18
LEAD00269,Email,New,9900.0,2025-08-20,2025-09-03
LEAD00270,Event,Negotiation,5200.0,2025-06-02,2025-06-15
LEAD00271,Social,Negotiation,5800.0,2025-08-12,2025-09-07
LEAD00272,Email,Negotiation,2200.0,2025-08-04,2025-08-23
LEAD00273,Referral,Qualified,1400.0,2025-08-13,2025-09-07
LEAD00274,Web,Closed Lost,8200.0,2025-08-22,2025-09-07
LEAD00275,Web,Negotiation,6300.0,2025-08-15,2025-09-04
LEAD00276,Referral,Closed Lost,4000.0,2025-06-24,2025-06-24
LEAD00277,Web,Negotiation,2200.0,2025-08-28,2025-09-01
LEAD00278,Email,Negotiation,15400.0,2025-06-12,2025-07-06
LEAD00279,Social,Qualified,1300.0,2025-06-01,2025-06-04
LEAD00280,Event,Closed Won,8600.0,2025-07-03,2025-07-25
LEAD00281,Social,Closed Won,5100.0,2025-08-05,2025-08-18
LEAD00282,Referral,Qualified,3900.0,2025-08-05,2025-08-31
LEAD00283,Social,Negotiation,1300.0,2025-06-03,2025-06-29
LEAD00284,Web,Closed Lost,1200.0,2025-06-26,2025-06-26
LEAD00285,Email,Negotiation,15600.0,2025-08-25,2025-09-01
LEAD00286,Referral,Closed Won,28700.0,2025-07-29,2025-08-12
LEAD00287,Social,Qualified,15600.0,2025-06-22,2025-06-25
LEAD00288,Referral,New,1500.0,2025-07-03,2025-07-20
LEAD00289,Email,New,3900.0,2025-06-30,2025-07-03
LEAD00290,Social,Contacted,3200.0,2025-07-01,2025-07-03
LEAD00291,Social,Negotiation,9600.0,2025-07-20,2025-08-11
LEAD00292,Web,Contacted,6700.0,2025-07-28,2025-07-30
LEAD00293,Web,Closed Lost,4900.0,2025-06-18,2025-06-27
LEAD00294,Social,New,3200.0,2025-07-18,2025-07-31
LEAD00295,Web,Negotiation,9000.0,2025-05-31,2025-06-16
LEAD00296,Referral,Contacted,5100.0,2025-06-22,2025-07-10
LEAD00297,Web,Contacted,7200.0,2025-08-26,2025-08-31
LEAD00298,Email,Closed Won,17200.0,2025-08-01,2025-08-22
LEAD00299,Referral,Qualified,4000.0,2025-08-13,2025-09-04
LEAD00300,Event,Negotiation,12700.0,2025-07-30,2025-08-09
LEAD00301,Email,Negotiation,1300.0,2025-07-09,2025-07-18
LEAD00302,Event,Closed Won,9500.0,2025-08-15,2025-08-20
LEAD00303,Referral,Closed Lost,2900.0,2025-08-10,2025-08-23
LEAD00304,Event,Closed Won,2500.0,2025-08-18,2025-09-12
LEAD00305,Social,Contacted,8400.0,2025-07-28,2025-08-16
LEAD00306,Referral,Closed Lost,8000.0,2025-08-16,2025-09-10
LEAD00307,Referral,Closed Lost,10400.0,2025-08-10,2025-08-24
LEAD00308,Web,Contacted,6700.0,2025-06-09,2025-06-11
LEAD00309,Social,Closed Won,2500.0,2025-08-26,2025-09-23
LEAD00310,Social,New,11000.0,2025-08-01,2025-08-11
LEAD00311,Social,Contacted,4100.0,2025-06-14,2025-06-27
LEAD00312,Web,Negotiation,1700.0,2025-06-28,2025-07-20
LEAD00313,Web,Negotiation,4200.0,2025-07-16,2025-07-26
LEAD00314,Social,Qualified,3000.0,2025-06-30,2025-07-05
LEAD00315,Web,Closed Lost,3400.0,2025-08-20,2025-08-22
LEAD00316,Referral,Negotiation,1400.0,2025-07-25,2025-08-04
LEAD00317,Event,Qualified,23200.0,2025-08-21,2025-09-19
LEAD00318,Event,Contacted,14500.0,2025-08-15,2025-09-02
LEAD00319,Email,New,5800.0,2025-06-17,2025-07-11
LEAD00320,Event,Contacted,9300.0,2025-08-13,2025-09-05
LEAD00321,Web,Negotiation,6100.0,2025-06-28,2025-07-19
LEAD00322,Web,Contacted,4300.0,2025-06-17,2025-06-19
LEAD00323,Web,Contacted,6200.0,2025-07-24,2025-07-27
LEAD00324,Web,New,1300.0,2025-08-08,2025-08-16
LEAD00325,Referral,Negotiation,1500.0,2025-06-11,2025-07-03
LEAD00326,Referral,Qualified,1600.0,2025-07-10,2025-07-15
LEAD00327,Web,Qualified,9500.0,2025-06-24,2025-07-21
LEAD00328,Web,Negotiation,10700.0,2025-06-10,2025-06-29
LEAD00329,Referral,Contacted,6200.0,2025-06-12,2025-06-14
LEAD00330,Email,Closed Lost,2600.0,2025-08-27,2025-08-31
LEAD00331,Referral,Closed Won,1500.0,2025-07-16,2025-08-11
LEAD00332,Social,New,3100.0,2025-08-13,2025-08-13
LEAD00333,Social,New,9900.0,2025-07-10,2025-07-31
LEAD00334,Referral,Negotiation,3800.0,2025-08-10,2025-08-25
LEAD00335,Social,Negotiation,3600.0,2025-07-11,2025-07-19
LEAD00336,Event,Negotiation,4000.0,2025-08-06,2025-08-16
LEAD00337,Referral,Contacted,4100.0,2025-06-09,2025-06-30
LEAD00338,Web,Qualified,4700.0,2025-07-29,2025-08-23
LEAD00339,Email,Negotiation,2500.0,2025-08-23,2025-09-06
LEAD00340,Event,Contacted,9500.0,2025-08-20,2025-08-26
LEAD00341,Web,Closed Won,1500.0,2025-07-29,2025-08-17
LEAD00342,Social,Closed Lost,5100.0,2025-08-24,2025-09-16
LEAD00343,Web,Contacted,1700.0,2025-08-06,2025-08-19
LEAD00344,Social,Closed Lost,3000.0,2025-08-15,2025-08-18
LEAD00345,Referral,Closed Lost,2900.0,2025-07-13,2025-08-01
LEAD00346,Email,Closed Won,3200.0,2025-07-08,2025-08-06
LEAD00347,Event,Closed Lost,4000.0,2025-06-06,2025-06-26
LEAD00348,Social,Closed Lost,7300.0,2025-07-22,2025-07-24
LEAD00349,Web,New,3400.0,2025-08-16,2025-08-27
LEAD00350,Email,Qualified,12000.0,2025-07-15,2025-08-09
LEAD00351,Event,Closed Won,10200.0,2025-07-02,2025-07-26
LEAD00352,Web,Closed Won,4100.0,2025-07-15,2025-08-05
LEAD00353,Email,New,3800.0,2025-07-13,2025-07-30
LEAD00354,Referral,Closed Lost,1500.0,2025-07-15,2025-08-13
LEAD00355,Referral,Closed Lost,10100.0,2025-07-05,2025-08-01
LEAD00356,Referral,New,2300.0,2025-06-16,2025-07-11
LEAD00357,Web,Qualified,3100.0,2025-07-03,2025-07-30
LEAD00358,Web,Contacted,3900.0,2025-08-12,2025-08-28
LEAD00359,Social,Contacted,1500.0,2025-08-13,2025-09-01
LEAD00360,Web,New,2200.0,2025-06-26,2025-06-26
LEAD00361,Event,Closed Won,4200.0,2025-07-29,2025-08-10
LEAD00362,Referral,Closed Lost,1900.0,2025-07-13,2025-08-09
LEAD00363,Referral,Closed Won,2200.0,2025-08-05,2025-09-02
LEAD00364,Social,Closed Lost,5700.0,2025-07-21,2025-08-10
LEAD00365,Email,Qualified,3200.0,2025-08-20,2025-08-31
LEAD00366,Email,Qualified,4400.0,2025-07-08,2025-08-04
LEAD00367,Referral,New,31100.0,2025-07-21,2025-08-04
LEAD00368,Event,New,5700.0,2025-08-08,2025-08-14
LEAD00369,Social,Qualified,5200.0,2025-07-03,2025-07-03
LEAD00370,Event,Closed Won,2300.0,2025-07-28,2025-08-13
LEAD00371,Social,Contacted,1500.0,2025-07-05,2025-07-13
LEAD00372,Email,Contacted,4900.0,2025-06-15,2025-07-02
LEAD00373,Social,Closed Lost,2800.0,2025-07-30,2025-08-23
LEAD00374,Email,Closed Won,4600.0,2025-08-12,2025-08-12
LEAD00375,Web,New,4800.0,2025-08-15,2025-08-16
LEAD00376,Email,Closed Won,2600.0,2025-07-27,2025-08-02
LEAD00377,Social,New,6800.0,2025-08-17,2025-08-21
LEAD00378,Event,Closed Won,21000.0,2025-06-07,2025-06-25
LEAD00379,Referral,Closed Lost,10600.0,2025-07-18,2025-07-25
LEAD00380,Email,Negotiation,2800.0,2025-06-11,2025-06-27
LEAD00381,Email,Qualified,2500.0,2025-08-07,2025-08-28
LEAD00382,Referral,Negotiation,3100.0,2025-06-12,2025-06-21
LEAD00383,Referral,Negotiation,1400.0,2025-06-10,2025-07-04
LEAD00384,Referral,New,1200.0,2025-08-09,2025-09-04
LEAD00385,Email,Closed Won,16900.0,2025-07-08,2025-07-31
LEAD00386,Web,Contacted,3000.0,2025-07-12,2025-08-10
LEAD00387,Email,Negotiation,1900.0,2025-07-15,2025-07-25
LEAD00388,Referral,Closed Lost,2900.0,2025-08-11,2025-08-30
LEAD00389,Referral,Qualified,12500.0,2025-08-02,2025-08-07
LEAD00390,Web,Negotiation,1500.0,2025-07-09,2025-07-10
LEAD00391,Web,Qualified,3100.0,2025-07-22,2025-08-17
LEAD00392,Referral,Negotiation,2300.0,2025-08-02,2025-08-07
LEAD00393,Web,Negotiation,11700.0,2025-06-11,2025-06-20
LEAD00394,Social,New,20600.0,2025-06-25,2025-07-22
LEAD00395,Referral,Closed Lost,14200.0,2025-08-07,2025-08-31
LEAD00396,Web,Negotiation,2300.0,2025-06-23,2025-07-20
LEAD00397,Event,Closed Won,6900.0,2025-07-13,2025-08-06
LEAD00398,Web,Negotiation,2900.0,2025-06-01,2025-06-18
LEAD00399,Social,Contacted,1300.0,2025-07-10,2025-07-14
LEAD00400,Email,Contacted,6500.0,2025-06-29,2025-07-16
LEAD00401,Event,Closed Won,2500.0,2025-06-30,2025-07-03
LEAD00402,Email,Closed Won,1600.0,2025-08-12,2025-08-19
LEAD00403,Social,New,8300.0,2025-06-09,2025-06-18
LEAD00404,Referral,Qualified,19600.0,2025-08-03,2025-08-07
LEAD00405,Social,Closed Lost,10800.0,2025-08-27,2025-09-24
